题号,题型,知识域,难度,题干,选项A,选项B,选项C,选项D,答案,解析,考点
Q091,多选,同态加密,进阶,下列属于全同态加密（FHE）主流方案族的有？,BGV/BFV,CKKS,TFHE/CGGI,Paillier,ABC,前三者是 FHE 主流方案族；Paillier 只是加法同态的部分同态方案（ISO/IEC 18033-6 收录）。,FHE 方案族
Q092,多选,同态加密,进阶,下列属于隐私计算技术栈的有？,全同态加密 FHE,多方安全计算 MPC,差分隐私 DP,可信执行环境 TEE,ABCD,四者是隐私计算的主要路线：FHE 密文计算、MPC 多方交互、DP 统计加噪、TEE 硬件隔离——实际系统常组合使用、如联邦学习叠加 DP 与 TEE。,隐私计算
Q093,多选,密码实现,进阶,密码算法库软硬件协同设计的典型体现包括？,x86 AES-NI 与 ARMv8 Crypto Extensions 指令,RISC-V Zk 标量加密扩展（含 Zksed/Zksh 国密指令）,格密码 NTT 硬件加速器,库层 Provider/Engine 与 SDF 接口解耦,ABCD,协同设计覆盖指令层（AES-NI、ARMv8 CE、Zk）、加速器层（NTT）与库架构层（OpenSSL Provider、PKCS#11、国密 SDF）——目标是性能与合规兼得、且降级路径同样恒定时间。,软硬件协同
Q094,多选,密码实现,进阶,恒定时间密码实现应遵守的做法包括？,避免以秘密数据为条件的分支,避免以秘密数据为索引的查表访问,密钥使用后立即清零,RSA 私钥运算使用指数盲化,ABCD,四项分别消除时序与缓存泄漏、残留泄漏并对抗 RSA 时序攻击——任何违反都可能被远程计时攻击利用。,恒定时间
Q095,多选,侧信道攻击,基础,侧信道攻击可以利用的信息源包括？,功耗,电磁辐射,执行时间,声学噪声,ABCD,功耗与电磁是最主流的两类、时序可远程利用、声学（Genkin 等的 RSA 提取）与光子发射等也可行——共同点是都与秘密数据存在相关性。,侧信道分类
Q096,多选,侧信道攻击,基础,侧信道防护手段包括？,布尔掩码,随机乱序与加噪,恒定时间实现,双轨逻辑（WDDL）,ABCD,掩码属于分而治之、乱序与加噪属于隐藏、恒定时间针对软件、WDDL 通过双轨平衡功耗——四者常按资产价值组合使用。,侧信道防护
Q097,多选,故障注入,基础,下列属于故障注入手段的有？,电压毛刺,时钟毛刺,激光注入,电磁故障注入（EMFI）,ABCD,电压与时钟毛刺成本最低、EMFI 无需开封、激光精度最高但需开封——FIB 属于侵入式修改、一般也归入物理攻击手段。,故障注入分类
Q098,多选,故障注入,进阶,针对故障注入的防护措施包括？,关键运算双路冗余比对,光、电压、温度传感器,有源屏蔽网,RSA-CRT 签名后用公钥验签,ABCD,前两项是检测与容忍、屏蔽网防开封探测、验签直接消除 Bellcore 类攻击的收益——防护要求按多故障与故障持续存在的假设设计。,故障防护
Q099,多选,物理攻击,挑战,下列属于半侵入或侵入攻击的有？,激光故障注入,FIB 聚焦离子束修改电路,电压毛刺,时钟毛刺,AB,激光注入需开封但不动电路（半侵入）、FIB 直接修改电路（侵入）；电压与时钟毛刺均无需开封、属于非侵入。,攻击分类
Q100,多选,硬件可信根,基础,硬件可信根的常见形态包括？,Boot ROM,OTP/eFuse 熔丝,PUF,独立安全芯片（SE）,ABCD,Boot ROM 提供不可变首级代码、OTP 锚定公钥哈希与生命周期、PUF 现场生成设备密钥、SE 提供独立抗物理攻击环境——四者可组合构成完整信任链。,可信根形态
Q101,多选,硬件可信根,进阶,TPM 2.0 的组成或能力包括？,PCR 度量寄存器,EK 与 AK 密钥体系,密封（Sealing）存储,物理不可克隆的制造工艺,ABC,TPM 提供 PCR、EK/AK 密钥层次、密封与远程证明；PUF 是可信根的一种形态、并不是 TPM 的组成部件——注意区分。,TPM 2.0
Q102,多选,硬件可信根,进阶,HSM 的典型功能或特征包括？,密钥全生命周期管理且明文密钥不出模块,高速加解密与签名验签,真随机数生成,替代操作系统执行访问控制,ABC,HSM 聚焦密码服务与密钥保护（FIPS 140-3 或商密认证）；访问控制是操作系统与 TEE 的职责、不属于 HSM 的功能定位。,HSM
Q103,多选,硬件可信根,进阶,安全启动信任链的组成要素包括？,Boot ROM 固化代码与 OTP 公钥哈希,逐级验签后才执行下一级,版本号单调递增的防回滚机制,验签失败进入恢复或停机,ABCD,四要素缺一不可：没有公钥哈希锚定则签名可被替换、没有防回滚则旧漏洞固件可被刷回、失败处理决定攻击者的重试空间。,安全启动
Q104,多选,硬件可信根,挑战,远程证明（Remote Attestation）的组成要素包括？,对 PCR 状态的签名引用（Quote）,验证方提供的随机 nonce 防重放,证明密钥（AK）签名,导出平台全部明文密钥供核验,ABC,Quote 携带 PCR 值并由 AK 签名、nonce 保证新鲜度；导出明文密钥与证明目标背道而驰——证明只交付度量状态、不交付密钥。,远程证明
Q105,多选,TEE,基础,下列属于 TEE 或机密计算方案的有？,Intel SGX,AMD SEV-SNP,ARM TrustZone 与华为 iTrustee,RISC-V Keystone,ABCD,SGX 是进程级飞地、SEV-SNP 是虚机级机密计算、TrustZone/iTrustee 是世界隔离、Keystone 是 RISC-V 开源 enclave 框架——隔离粒度与 TCB 各不相同。,TEE 方案
Q106,多选,TEE,进阶,ARM TrustZone 的硬件机制包括？,总线与处理器上的 NS 位,TZASC 安全内存控制,SMC 指令与 EL3 Secure Monitor,RMP 反向映射表,ABC,NS 位贯穿 SoC、TZASC 划定安全内存、SMC 与 EL3 完成世界切换；RMP 是 AMD SEV-SNP 的机制、与 TrustZone 无关。,TrustZone
Q107,多选,TEE,基础,ARM CCA 定义的安全状态包括？,Root,Secure,Realm,Non-secure,ABCD,RME 在 TrustZone 的安全与普通世界之外新增 Root 与 Realm、由 GPT 以 4KB 粒度控制物理内存归属、RMM 管理 Realm 生命周期但不进入其信任边界。,ARM CCA
Q108,多选,微架构安全,基础,Meltdown 与 Spectre 的缓解措施包括？,KPTI 内核页表隔离,retpoline,微码更新（IBRS/IBPB/STIBP）,推测屏障与恒定时间编码,ABCD,KPTI 针对 Meltdown、retpoline 与微码针对 Spectre v2、推测屏障与恒定时间针对 v1 与软件侧信道——多层防御需要软硬件协同。,瞬态执行缓解
Q109,多选,微架构安全,进阶,下列属于瞬态执行（transient execution）攻击的有？,Meltdown,Spectre v1,L1TF（Foreshadow）,Rowhammer,ABC,Meltdown 越权读、Spectre 骗执行、L1TF 读陈旧缓存数据都属于瞬态执行；Rowhammer 是 DRAM 扰动故障、不依赖推测执行。,瞬态执行
Q110,多选,微架构安全,进阶,经典的缓存侧信道攻击原语包括？,Flush+Reload,Prime+Probe,Evict+Reload,差分故障分析,ABC,三者都利用缓存命中与未命中的时间差传递信息；差分故障分析属于故障注入类、不属于缓存攻击原语。,缓存攻击
Q111,多选,架构安全特性,进阶,属于硬件级控制流完整性或内存安全特性的有？,ARM PAC（指针认证）,ARM BTI（分支目标识别）,x86 CET（影子栈+IBT）,ARM MTE（内存标签）,ABCD,PAC 与 BTI 构成 ARM 的控制流防护、CET 是 x86 对应方案、MTE 提供内存越界与 UAF 的硬件检测——RISC-V 侧为 Zicfilp/Zicfiss。,架构安全特性
Q112,多选,供应链安全,进阶,硬件木马的检测方法包括？,与金片对比的侧信道指纹分析,形式化验证与不可达逻辑分析,破坏性逆向抽样,开启 UEFI 安全启动,ABC,前三类在设计、制造与来料环节检测木马；安全启动是运行期防护、无法检测已经制造在芯片内部的木马。,木马检测
Q113,多选,供应链安全,进阶,硬件木马的触发器（Trigger）类型包括？,组合逻辑触发（罕见信号组合）,时序触发（计数器或状态机）,物理触发（温度、电压等条件）,审计日志触发,ABC,组合与时序触发最常见、物理触发利用环境条件、混合触发进一步降低误触发概率；审计日志是防护机制、不是木马类型。,硬件木马
Q114,多选,供应链安全,进阶,固件供应链的真实威胁事件包括？,LoJax（首例野外 UEFI rootkit）,MoonBounce（UEFI 恶意植入）,BlackLotus（绕过 Secure Boot 的 UEFI bootkit）,SWEET32,ABC,三者均为固件持久化威胁；SWEET32 是针对 3DES 等 64 位分组密码的生日攻击、与固件供应链无关。,固件供应链
Q115,多选,调试接口,基础,JTAG 调试口的防护手段包括？,量产时熔丝禁用,认证调试（挑战-响应授权）,生命周期状态管理（RMA 先擦密钥）,更换更粗的排线,ABC,熔断最直接、认证调试保留返修能力、生命周期管理兼顾量产与售后；排线粗细与安全性无关。,JTAG 防护
Q116,多选,调试接口,基础,通过量产设备 UART 调试口攻击者可能做到的有？,查看或修改 bootargs（如 init=/bin/sh）,打断 U-Boot autoboot 进入命令行,获取无认证的系统 shell,直接改写 BootROM 代码,ABC,UART 可获得系统级 shell 与启动参数控制；BootROM 出厂固化、任何调试口都无法改写。,UART
Q117,多选,底软漏洞,进阶,底层软件中常见的内存破坏类漏洞包括？,栈溢出与堆溢出,使用释放后内存（UAF）与重复释放,整型溢出,格式化字符串,ABCD,四类都会导致可控的内存破坏；底软环境缺少 ASLR 等缓解、利用门槛往往更低——需要在开发流程中引入 sanitizer 与模糊测试。,内存漏洞
Q118,多选,底软漏洞,进阶,属于漏洞缓解或安全加固机制的有？,ASLR,Stack Canary,ARM MTE,IOMMU,ABCD,ASLR 与 canary 是软件缓解、MTE 提供硬件内存安全检测、IOMMU 隔离设备 DMA——四者分别堵住不同类别的利用路径。,漏洞缓解
Q119,多选,底软漏洞,挑战,底软漏洞挖掘的常用技术包括？,覆盖率引导的模糊测试（AFL++、libFuzzer）,符号执行（angr、S2E）,补丁比对（BinDiff 反推 1-day）,形式化等价证明可消除全部漏洞,ABC,模糊测试、符号执行与补丁比对是主流挖掘手段；形式化证明只能覆盖特定性质、无法一劳永逸消除全部漏洞。,漏洞挖掘
Q120,多选,华为硬件安全,基础,下列属于华为公开硬件安全实践的有？,自研 TEE OS iTrustee,鲲鹏机密计算（virtCCA、机密虚机）,华为云 DEW（KMS 与 DHSM 专属加密）,金融级 inSE,ABCD,iTrustee 是自研微内核 TEE OS、鲲鹏机密计算基于 S-EL2 与 virtCCA、DEW 提供云上 KMS 与专属加密、inSE 用于支付与 eID——覆盖端管云三线。,华为实践
Q121,多选,业界生态,基础,下列属于开源硬件可信根或 TEE 项目的有？,OpenTitan,Caliptra,OP-TEE,Pluton,ABC,OpenTitan 与 Caliptra 是开源 RoT 项目（前者面向通用设备、后者面向数据中心 SoC）、OP-TEE 是开源 TEE OS；Pluton 是微软的闭源方案。,开源项目
Q122,多选,业界生态,进阶,属于 Android 平台安全机制的有？,Verified Boot（AVB）与防回滚索引,KeyMint/StrongBox 密钥服务,RPMB 防重放分区存储,Face ID 数据在 SEP 内比对,ABC,前三项均属 Android 体系；Face ID 与 SEP 是 Apple 的机制、与 Android 无关——两套生态的安全架构注意区分。,Android 安全
Q123,多选,标准认证,基础,属于 GlobalPlatform 体系的标准或评估框架有？,TEE 规范族（Internal API 等）,SESIP,IoTopOn,PCI PTS,ABC,GlobalPlatform 制定 TEE 规范族并发起 SESIP 与 IoTopOn 评估框架；PCI PTS 属于 PCI 安全标准委员会、面向支付终端。,GlobalPlatform
Q124,多选,标准认证,进阶,汽车网络安全相关的标准、法规与方案包括？,UNECE R155（CSMS 管理体系）,UNECE R156（软件更新 SUMS）,ISO/SAE 21434（网络安全工程）,EVITA（车载 HSM 分级）,ABCD,R155/R156 是车型准入强制法规、21434 是工程标准、EVITA 定义车载 HSM 的 Light/Medium/Full 分级——共同构成车联网安全框架。,汽车安全
Q125,多选,标准认证,进阶,TRNG 或随机数评估相关的标准与方法包括？,NIST SP 800-90B（熵评估与健康测试）,NIST SP 800-22（统计测试套件）,德国 BSI AIS-31,TVLA,ABC,前三项针对随机数质量与熵；TVLA 是侧信道泄漏评估方法、与随机数测试无关——这是高频易混点。,随机数评估
Q126,多选,故障测评,进阶,故障注入测评（FI campaign）通常包括哪些环节？,参数空间扫描（电压、时钟、激光位置与能量）,定义目标函数（跳过校验、翻转目标比特）,统计攻击成功率与可重复性,验证防护响应（传感器报警、密钥清零）,ABCD,完整测评覆盖攻击执行与防护验证两侧；只统计成功注入而不验证防护响应、无法得出合规结论。,故障测评
